status,ticker,company_name,source_path,target_path,mapping_source_level,chain_code,chain_name,position,subcategory,choice_count,note
moved,8996,高力,Pilot_Reports/8996_高力.md,Pilot_Reports/8996_高力.md,raw_member,P000,電機機械,上游,油空壓元件,1,
moved,2430,燦坤,Pilot_Reports/2430_燦坤.md,Pilot_Reports/2430_燦坤.md,raw_member,F000,電腦及週邊設備,下游,筆記型電腦,7,
moved,2616,山隆,Pilot_Reports/2616_山隆.md,Pilot_Reports/2616_山隆.md,raw_member,T000,交通運輸及航運,上游,貨櫃運輸集散及倉儲,2,
moved,2937,集雅社,Pilot_Reports/2937_集雅社.md,Pilot_Reports/2937_集雅社.md,raw_member,V000,貿易百貨,下游,零售通路,1,
moved,2947,振宇五金,Pilot_Reports/2947_振宇五金.md,Pilot_Reports/2947_振宇五金.md,raw_member,V000,貿易百貨,下游,零售通路,1,
moved,3045,台灣大,Pilot_Reports/3045_台灣大.md,Pilot_Reports/3045_台灣大.md,map,I000,通信網路,下游,電信服務業,1,
moved,6195,詩肯,Pilot_Reports/6195_詩肯.md,Pilot_Reports/6195_詩肯.md,raw_member,V000,貿易百貨,下游,零售通路,1,
moved,6281,全國電,Pilot_Reports/6281_全國電.md,Pilot_Reports/6281_全國電.md,raw_member,V000,貿易百貨,下游,零售通路,1,
moved,8433,弘帆,Pilot_Reports/8433_弘帆.md,Pilot_Reports/8433_弘帆.md,raw_member,V000,貿易百貨,中游,貿易商、代理商、經銷商,1,
moved,8927,北基,Pilot_Reports/8927_北基.md,Pilot_Reports/8927_北基.md,raw_member,W000,油電燃氣,上游,加油站,1,
moved,9937,全國,Pilot_Reports/9937_全國.md,Pilot_Reports/9937_全國.md,raw_member,W000,油電燃氣,上游,加油站,1,
moved,9960,邁達康,Pilot_Reports/9960_邁達康.md,Pilot_Reports/9960_邁達康.md,raw_member,B000,休閒娛樂,上游,高爾夫球具業,1,
moved,3130,一零四,Pilot_Reports/3130_一零四.md,Pilot_Reports/3130_一零四.md,raw_member,R300,電子商務,上游,行銷廣告服務,4,
moved,1605,華新,Pilot_Reports/1605_華新.md,Pilot_Reports/1605_華新.md,raw_member,A300,電動車輛產業,上游,鋰電池材料,12,
moved,2002,中鋼,Pilot_Reports/2002_中鋼.md,Pilot_Reports/2002_中鋼.md,raw_member,Q000,鋼鐵,上游,鋼胚,4,
moved,2006,東和鋼鐵,Pilot_Reports/2006_東和鋼鐵.md,Pilot_Reports/2006_東和鋼鐵.md,raw_member,Q000,鋼鐵,上游,鋼胚,2,
moved,2007,燁興,Pilot_Reports/2007_燁興.md,Pilot_Reports/2007_燁興.md,raw_member,Q000,鋼鐵,中游,鋼筋,3,
moved,2008,高興昌,Pilot_Reports/2008_高興昌.md,Pilot_Reports/2008_高興昌.md,raw_member,Q000,鋼鐵,中游,冷熱軋鋼板捲,2,
moved,2010,春源,Pilot_Reports/2010_春源.md,Pilot_Reports/2010_春源.md,raw_member,Q000,鋼鐵,中游,冷熱軋鋼板捲,8,
