ticker,company_name,theme_id,theme_tag,role,source_path,matched_text,confidence,status
6134,萬旭,theme.ev,電動車,downstream,supply_chain.downstream[1],電動車,high,needs_review
6134,萬旭,theme.ai_server,AI 伺服器,downstream,supply_chain.downstream[2],AI 伺服器,high,needs_review
6134,萬旭,theme.leo_satellite,低軌衛星,downstream,supply_chain.downstream[3],低軌衛星,high,needs_review
6134,萬旭,theme.ev,電動車,downstream,relationships.customers[0],電動車,high,needs_review
6134,萬旭,theme.ai_server,AI 伺服器,downstream,relationships.customers[2],AI 伺服器,high,needs_review
6134,萬旭,theme.leo_satellite,低軌衛星,downstream,relationships.customers[3],低軌衛星,high,needs_review
6139,亞翔,theme.cowos,CoWoS,related,business.summary,CoWoS,high,needs_review
6139,亞翔,theme.cowos,CoWoS,downstream,supply_chain.downstream[1],CoWoS,high,needs_review
6139,亞翔,theme.cowos,CoWoS,downstream,relationships.customers[0],CoWoS,high,needs_review
6142,友勁,theme.5g,5G,related,business.summary,5G,high,needs_review
6142,友勁,theme.data_center,資料中心,related,business.summary,資料中心,high,needs_review
6146,耕興,theme.5g,5G,related,business.summary,5G,high,needs_review
6146,耕興,theme.apple_supply_chain,Apple 供應鏈,downstream,supply_chain.downstream[1],Apple,medium,needs_review
6146,耕興,theme.apple_supply_chain,Apple 供應鏈,downstream,relationships.customers[0],Apple,medium,needs_review
6146,耕興,theme.5g,5G,downstream,relationships.customers[3],5G,high,needs_review
6152,百一,theme.leo_satellite,低軌衛星,related,business.summary,低軌衛星,high,needs_review
6153,嘉聯益,theme.cpo,CPO,related,business.summary,CPO,high,needs_review
6153,嘉聯益,theme.silicon_photonics,矽光子,related,business.summary,矽光子,high,needs_review
6153,嘉聯益,theme.apple_supply_chain,Apple 供應鏈,downstream,relationships.customers[0],Apple,medium,needs_review
6154,順發,theme.apple_supply_chain,Apple 供應鏈,upstream,supply_chain.upstream[2],Apple,medium,needs_review
6154,順發,theme.apple_supply_chain,Apple 供應鏈,upstream,relationships.suppliers[1],Apple,medium,needs_review
6155,鈞寶,theme.5g,5G,related,business.summary,5G,high,needs_review
6155,鈞寶,theme.ai_server,AI 伺服器,related,business.summary,AI 伺服器,high,needs_review
6155,鈞寶,theme.ev,電動車,related,business.summary,電動車,high,needs_review
