ticker,company_name,source_md,rendered_md,source_wikilinks,rendered_wikilinks,missing_wikilinks,missing_source_sections,financial_preserved,competitor_count
6184,大豐電,Pilot_Reports/Entertainment/6184_大豐電.md,output/enrichment_all_rendered/6184_大豐電.md,4,8,,,true,1
6185,幃翔,Pilot_Reports/Electronic Components/6185_幃翔.md,output/enrichment_all_rendered/6185_幃翔.md,7,12,,,true,1
6186,新潤,Pilot_Reports/Real Estate - Development/6186_新潤.md,output/enrichment_all_rendered/6186_新潤.md,4,9,,,true,1
6187,萬潤,Pilot_Reports/Specialty Industrial Machinery/6187_萬潤.md,output/enrichment_all_rendered/6187_萬潤.md,9,14,,,true,1
6188,廣明,Pilot_Reports/Computer Hardware/6188_廣明.md,output/enrichment_all_rendered/6188_廣明.md,10,15,,,true,1
6189,豐藝,Pilot_Reports/Electronics & Computer Distribution/6189_豐藝.md,output/enrichment_all_rendered/6189_豐藝.md,8,13,,,true,1
6190,萬泰科,Pilot_Reports/Communication Equipment/6190_萬泰科.md,output/enrichment_all_rendered/6190_萬泰科.md,8,13,,,true,1
6191,精成科,Pilot_Reports/Electronic Components/6191_精成科.md,output/enrichment_all_rendered/6191_精成科.md,15,20,,,true,1
6192,巨路,Pilot_Reports/Industrial Distribution/6192_巨路.md,output/enrichment_all_rendered/6192_巨路.md,8,11,,,true,1
6194,育富,Pilot_Reports/Electronic Components/6194_育富.md,output/enrichment_all_rendered/6194_育富.md,10,15,,,true,1
6195,詩肯,Pilot_Reports/Specialty Retail/6195_詩肯.md,output/enrichment_all_rendered/6195_詩肯.md,6,11,,,true,1
6196,帆宣,Pilot_Reports/Electronic Components/6196_帆宣.md,output/enrichment_all_rendered/6196_帆宣.md,7,12,,,true,1
6197,佳必琪,Pilot_Reports/Computer Hardware/6197_佳必琪.md,output/enrichment_all_rendered/6197_佳必琪.md,14,19,,,true,1
6198,瑞築,Pilot_Reports/Semiconductors/6198_瑞築.md,output/enrichment_all_rendered/6198_瑞築.md,7,12,,,true,1
6199,天品,Pilot_Reports/Computer Hardware/6199_天品.md,output/enrichment_all_rendered/6199_天品.md,8,13,,,true,1
6201,亞弘電,"Pilot_Reports/Furnishings, Fixtures & Appliances/6201_亞弘電.md",output/enrichment_all_rendered/6201_亞弘電.md,5,10,,,true,1
6202,盛群,Pilot_Reports/Semiconductors/6202_盛群.md,output/enrichment_all_rendered/6202_盛群.md,8,12,,,true,1
6203,海韻電,Pilot_Reports/Electronic Components/6203_海韻電.md,output/enrichment_all_rendered/6203_海韻電.md,9,14,,,true,1
6204,艾華,Pilot_Reports/Electronic Components/6204_艾華.md,output/enrichment_all_rendered/6204_艾華.md,6,6,,,true,1
6205,詮欣,Pilot_Reports/Electronic Components/6205_詮欣.md,output/enrichment_all_rendered/6205_詮欣.md,12,17,,,true,1
6206,飛捷,Pilot_Reports/Computer Hardware/6206_飛捷.md,output/enrichment_all_rendered/6206_飛捷.md,8,13,,,true,1
6207,雷科,Pilot_Reports/Electronic Components/6207_雷科.md,output/enrichment_all_rendered/6207_雷科.md,8,13,,,true,1
6208,日揚,Pilot_Reports/Specialty Industrial Machinery/6208_日揚.md,output/enrichment_all_rendered/6208_日揚.md,5,10,,,true,1
6209,今國光,Pilot_Reports/Electronic Components/6209_今國光.md,output/enrichment_all_rendered/6209_今國光.md,7,12,,,true,1
6210,慶生,Pilot_Reports/Electronic Components/6210_慶生.md,output/enrichment_all_rendered/6210_慶生.md,11,16,,,true,1
6212,理銘,Pilot_Reports/Real Estate - Development/6212_理銘.md,output/enrichment_all_rendered/6212_理銘.md,6,11,,,true,1
6213,聯茂,Pilot_Reports/Electronic Components/6213_聯茂.md,output/enrichment_all_rendered/6213_聯茂.md,13,18,,,true,1
6214,精誠,Pilot_Reports/Information Technology Services/6214_精誠.md,output/enrichment_all_rendered/6214_精誠.md,15,20,,,true,1
6215,和椿,Pilot_Reports/Specialty Industrial Machinery/6215_和椿.md,output/enrichment_all_rendered/6215_和椿.md,5,10,,,true,1
6216,居易,Pilot_Reports/Communication Equipment/6216_居易.md,output/enrichment_all_rendered/6216_居易.md,10,15,,,true,1
6217,中探針,Pilot_Reports/Electronic Components/6217_中探針.md,output/enrichment_all_rendered/6217_中探針.md,7,12,,,true,1
6218,豪勉,Pilot_Reports/Semiconductor Equipment & Materials/6218_豪勉.md,output/enrichment_all_rendered/6218_豪勉.md,5,10,,,true,1
6219,富旺,Pilot_Reports/Real Estate - Diversified/6219_富旺.md,output/enrichment_all_rendered/6219_富旺.md,5,10,,,true,1
6220,岳豐,Pilot_Reports/Communication Equipment/6220_岳豐.md,output/enrichment_all_rendered/6220_岳豐.md,10,15,,,true,1
6221,晉泰,Pilot_Reports/Information Technology Services/6221_晉泰.md,output/enrichment_all_rendered/6221_晉泰.md,11,16,,,true,1
6222,立軒,"Pilot_Reports/Furnishings, Fixtures & Appliances/6222_立軒.md",output/enrichment_all_rendered/6222_立軒.md,4,9,,,true,1
6223,旺矽,Pilot_Reports/Semiconductor Equipment & Materials/6223_旺矽.md,output/enrichment_all_rendered/6223_旺矽.md,10,15,,,true,1
